"卷","章节","日文原版","网翻","台版","X系列","副标题"
"新约10","第九章","V.S.『白と黒と翼携え世に抗う者』","V.S.『持黑白翼对抗世界之人』","V.S.「带着黑白羽翼对抗世界者」","V.S.「持黑白翼对抗世界之人」","Round_01."
"新约10","第十章","V.S.『二〇億の猛威』","V.S.『在神威中摇摆的修女们』","V.S.「二十亿的威势」","V.S.「二十亿的威势」","Round_02."
"新约10","第十一章","V.S.『神威にたゆたう修道女達』","V.S.『屠魔四刃』","V.S.「神威飘荡的修女们」","V.S.「神威飘荡的修女们」","Round_03."
"新约10","第十二章","V.S.『魔を屠る四つの刃』","V.S.『20亿猛威』","V.S.「屠魔四刃」","V.S.「屠魔四刃」","Round_04."
"新约10","第十三章","V.S.『魔剣を解放せし鍛冶師』","V.S.『解放魔剑的锻造师』","V.S.「解放魔剑的锻造师」","V.S.「解放魔剑的锻造师」","Round_05."
"新约10","第十四章","V.S.『表舞台の警察』","V.S.『表舞台的警察』","V.S.「台面上的警察」","V.S.「表舞台的警察」","Round_06."
"新约10","第十五章","V.S.『無慈悲なる科学の尖兵』","V.S.『冷酷的科学尖兵』","V.S.「残酷的科学尖兵」","V.S.「冷酷的科学尖兵」","Round_07."
"新约10","第十六章","V.S.『電子に愛されし申し子』","V.S.『被电子宠爱的天赐之子』","V.S.「受电子眷顾的宠儿」","V.S.「受电子眷顾的宠儿」","Round_08."
"新约10","第十七章","V.S.『図書館の主と魔術の女王』","V.S.『图书馆主人与魔法女王』","V.S.「图书馆之主与魔法女王」","V.S.「图书馆之主与魔法女王」","Round_09."
"新约10","第十八章","V.S.『魔神に対する者』","V.S.『对抗魔神之人』","V.S.「与魔神成对者」","V.S.「对抗魔神之人」","Round_10."
"新约10","第十九章","V.S.『槌振るいし全能神』","V.S.『挥舞重锤的全能之神』","V.S.「挥舞槌子的全能神」","V.S.「挥舞重锤的全能之神」","Round_11."
"新约10","第二十章","V.S.『？？？』","V.S.『？？？』","V.S.「？？？」","V.S.「？？？」","Round_12(Secret)."
"新约10","终　章","争いの果てに、右手が掴むものは","尘埃落定大战息，终获何物于右手","争斗尽头，右手所掌握的是","争斗尽头，右手所掌握的是","Finale_∞."
"","","","","","",""
"新约11","序　章","ある入口","某个入口","某个入口","某个入口","No.05_Open."
"新约11","第一章","追憶＞＞正面ホール","追忆>>前厅","追忆>>正厅","追忆>>正厅","Episode_""the_Girl""."
"新约11","第二章","白紙＞＞迷宮","白纸>>迷宫","白纸>>迷宫","白纸>>迷宫","Broken_road."
"新约11","第三章","真意＞＞キャラリー","真意>>回廊","真意>>回廊","真意>>回廊","Another_Answer."
"新约11","第四章","邂逅＞＞謁見の間","邂逅>>谒见之间","邂逅>>谒见之间","邂逅>>谒见之间","Duel_in_the_Mind."
"新约11","终　章","ある出口","某个出口","某个出口","某个出口","No.05_Closed(and_Next_Door)."
"","","","","","",""
"新约12","序　章","世界の許容その限界","世界容许的极限","世界的容量极限","世界容许的极限","Foreign_GODs,or_Evil_KINGs."
"新约12","第一章","饅頭とダイヤモンド","馒头与钻石天井","包子与钻石","馒头与钻石高塔","to_the_DIANOID."
"新约12","第二章","魔神と嘘つきの邂逅","魔神巧遇骗人精","魔神与骗子的邂逅","魔神邂逅了骗子","St.Germain,and_LIAR."
"新约12","第三章","消え入る少女の遺産","失踪少女的遗产","逝去少女的遗产","逝去少女的遗产","Hard_MEMORY."
"新约12","第四章","ただ一つ突き抜ける","唯一一个突破口","唯一的突破点","唯一一个突破口","Hand_Made_ROUTE."
"新约12","终　章","狂熱の胎動の終わり","狂热胎动的结局","狂热胎动的终结","狂热胎动的终结","CRAZY_1st_cry."
"","","","","","",""
"新约13","序　章","あるいはこんな終焉も","说不定这种终焉也","或许也有这种结局","或许也有这种结局","Before_the_End."
"新约13","第一章","魔神はいつでもそこに","魔神一直都在那里","魔神总是在你身边","魔神总是在你身边","Sword_and_Sheath."
"新约13","第二章","走れ、さもなくば死ぬ","快跑，不然就会死","快跑，否则就死定了","快跑，否则就会死","Chase_With_the_Girl."
"新约13","第三章","千切れた蜘蛛の糸の先","在破碎的蛛网前方","寸断蜘蛛丝的前方","寸断蜘蛛丝的前方","Nightmare_to_Ray_of_Hope."
"新约13","第四章","勝利なき戦いの終わり","不存在胜利的终局","无胜利之战的终结","无胜利之战的终结","A.A.A."
"新约13","终　章","あるいはこんな開幕も","说不定这种开端也","或许也有这种开场","或许也有这种开场","The_End_is_Named..."
"","","","","","",""
"新约14","序　章","魔神が身近になりました","魔神变得近在咫尺了","魔神伴身边","","Home_Party?"
"新约14","第一章","幻想殺しと理想送り","幻想杀手和理想放逐","幻想杀手与理想送别","","One_Night_Encount."
"新约14","第二章","居候とは増えるもの","食客是会增加的生物","食客会增加","","Cannibalization."
"新约14","第三章","少女願望、その交差","少女的愿望相互交错","少女愿望的交错","","Winner’s_“APPLE”."
"新约14","第四章","上条当麻と上里翔流","上条当麻与上里翔流","上条当麻与上里翔流","","Attack_the_Fist."
"新约14","终　章","揺らりかごの時間の終わり","摇篮的时刻迎来终结","摇篮时间告终","","More_Purely,More_Bloody."
"","","","","","",""
"新约15","序　章","コインの裏の裏","硬币的反面的反面","硬币反面的反面","","Rock_on_Right_Arm."
"新约15","第一章","対峙、あるいは新たな日々","对峙，抑或是崭新的日子","对峙，或是崭新的日子","","Turn_a_New-Leaf."
"新约15","第二章","平穏、あるいは巣を張る罠","平稳，抑或是张网的陷阱","平稳，或是布网的陷阱","","Board_Game."
"新约15","第三章","転換、あるいは視点の変更","转换，抑或是观点的改变","转换，或是视点的变更","","Not_Fiend, Not_Enemy."
"新约15","第四章","絶望、あるいは目的の明示","绝望，抑或是目标的明示","绝望，或是目的的明示","","Artificial_Disaster."
"新约15","第五章","光明、あるいは底なしの闇","光明，抑或是无尽的黑暗","光明，或是无底的黑暗","","To_the_Magic."
"新约15","终　章","コインの表の表","硬币的正面的正面","硬币正面的正面","","Lock_on_Light_Girl."
"","","","","","",""
"新约16","序　章","水着で始まる学校籠城","从泳装开始的驻校战","始于泳装的学校守城","","Melt_the_Asphalt."
"新约16","第一章","灼熱で続ける安全確保","炎热中持续确保安全","炎热之下的安全确保","","Water_Hunt."
"新约16","第二章","お嬢と進める拠点攻略","与大小姐们进攻要塞","千金同行的据点攻略","","Tower_of_the_Crystal."
"新约16","第三章","宿敵と交わす協力要請","宿敌之间的求助邀请","化敌为友的协力要求","","Double_Enemy."
"新约16","第四章","破滅を伝える急転直下","传导毁灭的形势急转","告知破灭的急转直下","","Operation_Right_Hand."
"新约16","终　章","災厄を超える模範解答","超越灾厄的模范答案","超越灾厄的模范解答","","Nightmare_by_Lost_Boy."
"","","","","","",""
"新约17","序　章","あるいは前提こそ結論を含む","或者说包括结论的前提","或许正因是前提才包含结论","","to_the_Girl's_ABYSS."
"新约17","第一章","あるいは遮断こそ拡散へ至る","或者说截断导致的扩散","或许正因为隔绝才造成扩散","","Gray_City."
"新约17","第二章","あるいは逃走こそ逆襲を得る","或者说逃走引起的反击","或许正因为逃走才能够反击","","Social_Network_Slayer."
"新约17","第三章","あるいは孤独こそ集団に勝る","或者说战胜集团的孤独","或许正因为孤独才胜过团体","","Engage_U.F.O."
"新约17","第四章","あるいは禁忌こそ安寧を掴む","或者说带来安宁的禁忌","或许正因是禁忌才取得安宁","","Salvage_XXX."
"新约17","终　章","あるいは疑念こそ真理は宿る","或者说内藏真相的疑虑","或许正因是疑念才存有真理","","Bet_Time.Red_or_Black."
"","","","","","",""
"新约18","序　章","連結点","连结点","接点","","Destiny_Joint."
"新约18","第一章","生き残るために必な事","为生存所需的事情","生存所需","","X."
"新约18","第二章","逃げ込むべき先は","该逃到哪里去","逃跑的方向","","Escape_to_Central."
"新约18","第三章","『黄金』","『黄金』","「黄金」","","A.D.1900_Invisible_War."
"新约18","第四章","天の頂にて価値ある一戦を","于天顶进行有所价值的一战","在顶点的宝贵一战","","Light."
"新约18","终　章","破裂する悪意","破裂的恶意","破裂的恶意","","Devil_in_Evil."
"","","","","","",""
"新约19","序　章","聖守護天使より神託を込めて","由圣守护天使传达的神谕","圣守护天使托付神谕","","the_Angel_“A”."
"新约19","第一章","Ｌの冠を頭に戴く小さな輝き","被冠以L之名的小小光辉","头戴L冠的小小光辉","","Lost_Princess."
"新约19","第二章","目を覚ます獣、鋼の街を行く","苏醒之兽横行在钢铁街道","苏醒的野兽前往钢城","","X=Scarlet."
"新约19","第三章","かの者は人の優しさを忘れず","那一位无法忘记人的温柔","他没忘记人类的温柔","","Gift_of_the_Hope."
"新约19","第四章","理をねじ曲げる覚悟はあるか","做好扭曲天理的觉悟了吗","有扭曲法则的觉悟吗","","Human."
"新约19","终　章","王座なき悪魔は地獄で吼える","王座上的恶魔在地狱咆哮","无冕恶魔在地狱咆哮","","The_Devil_“C”."
"","","","","","",""
"新约20","序　章","科学と魔術はひっくり返る","某魔法与科学的乾坤颠覆","科学与魔法彻底翻转","","Become_to_War."
"新约20","第一章","揺るぎなき魔術大国と変態","某不落的魔法王国与变态","不动魔法大国与变态","","Welcome_Home, A.C!!"
"新约20","第二章","処刑塔は大顎を開いて待っ","血盆大口静候着的伦敦塔","处刑塔张开大嘴等待","","the_Abyss_of_London."
"新约20","第三章","血の選択、ある敬虔な兵器","血之抉择与某虔诚之圣器","血的选择，虔诚兵器","","SISTER(xN.A._Weapon)."
"新约20","第四章","クロウリーが一番嫌いな物","某最为克劳利所憎恨之物","克劳利最讨厌的东西","","Justice."
"新约20","终　章","地平の彼方より黄金は迫る","地平线彼端迫近的黄金黎明","黄金自地平彼方逼近","","Dawn_to_the…"
"","","","","","",""
"新约21","序　章","黄金、その遍歴","黄金，它的历程","","","True_Wizards."
"新约21","第一章","狂乱","狂乱","","","Welcome_to_GD_Paradise!!"
"新约21","第二章","ヒトの叡智が編み上げたモノ","由人的智慧编织的事物","","","Grimoire_Nova."
"新约21","第三章","ハイウェイ・ロックオン","高速公路·目标锁定","","","Speed_Freaks."
"新约21","第四章","メサイアにはなれない","我不是做救世主的料","","","Battle_of_Scotland."
"新约21","终　章","こんな結末許せるか","怎能接受这个结局","","","Go_for_Broke!!"
"","","","","","",""
"新约22","序　章","（無題）","（无题）","","","ARCHENEMY_with_the_ABYSS."
"新约22","第一章","（無題）","（无题）","","","Break_a_Right_and_Hope."
"新约22","第二章","（無題）","（无题）","","","Over_the_Checkmate."
"新约22","第三章","（無題）","（无题）","","","World_Decomposer."
"新约22","第四章","（無題）","（无题）","","","MAGICK_Warfare."
"新约22","终　章","あるいは多くの傷を負いながら永き道のりを歩き通した末一人の男の人生に終止符が打たれるまでの物語","一个背负了无数伤痛行走在漫长的道路上迎来人生的终止符的男人的故事","","","（无题）"
"","","","","","",""
"新约22r","序　章","終戦までの流れ","到终战为止的趋势","","","Road_to_the_Peace."
"新约22r","第一章","笑顔","笑颜","","","After_Battle."
"新约22r","第二章","ささやかな栄冠","小小的荣冠","","","Party_for_Winners."
"新约22r","第三章","リバースポジション","Reverse Position","","","Wingerd_Lizard."
"新约22r","第四章","自己という関門を越える","跨越名为自我的门关","","","Break_the_Wall."
"新约22r","终　章","黄金と薔薇","黄金与蔷薇","","","Change_the_Rail."
"","","","","","",""
"创约01","序　章","イヴの最初に交差点で","平安夜最初源于交叉点","","平安夜最初源于交叉点","Prepare_for_Xmas_Eve!"
"创约01","第一章","まるで遊園地のような","简直就像是游乐园一般","","简直就像是游乐园一般","Red_Wear,Big_Bag,and_Flying_Sledge."
"创约01","第二章","変わる学園都市、前夜","变化的学园都市，前夜","","变化的学园都市，前夜","the_24th,Showdown."
"创约01","第三章","黒い陰謀と障壁の消失","黑色阴谋与障壁的消失","","黑色阴谋与障壁的消失","Enemy_Use_XXX."
"创约01","第四章","異世界交流、その始点","异世界交流，其之始点","","异世界交流，其之始点","""R&C OCCULTICS Co.Ltd."""
"创约01","终　章","雪と真紅が覆い尽くす","白雪与鲜红，覆盖一切","","白雪与鲜红，覆盖一切","White_End.(and_Merry_Xmas!!)"
"","","","","","",""
"创约02","序　章","血の降誕祭、開宴","血之圣诞节，开宴","","血之圣诞节，开宴","12/24_to_12/25."
"创约02","第一章","実はこちらが本番","实际上这才算步入正题","","实际上才步入正题","Home_Ground_Hospital."
"创约02","第二章","黒の丸薬、白の雪","黑之药丸，白之雪","","黑之药丸，白之雪","and_RED_Rose."
"创约02","第三章","ゼロの空白の中で","在零的空白之中","","在虚无的空白之中","Contact_6."
"创约02","第四章","上条当麻なる現象","上条当麻化现象","","名为上条当麻现象","Not_Right_Hand."
"创约02","终　章","鉄格子より挨拶を","来自铁窗之内的致意","","于铁窗之内的致意","Matching_Complete."
"","","","","","",""
